Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
7.4903e-02 1.0065e-01 8.4515e-04 1.3760e-03 6.5738e-04 2.4896e-04 3.9665e-05 2.3065e-04 3.6749e-05 7.6108e-03 7.2852e-04 3.7575e-03 7.5479e-02 1.0000e+00
7.6156e-02 8.7574e-02 9.3247e-04 7.1172e-03 5.5094e-04 1.7080e-04 3.2969e-05 1.6185e-04 3.1243e-05 1.7912e-03 6.3404e-04 4.0405e-03 7.6844e-02 1.0000e+00
7.7409e-02 7.0043e-02 7.9293e-04 6.4952e-03 6.2092e-04 1.4630e-04 4.1334e-05 1.2182e-04 3.4418e-05 5.3658e-03 6.9056e-04 4.0975e-03 7.7992e-02 1.0000e+00
7.8661e-02 5.7658e-02 7.5723e-04 4.3066e-03 6.0114e-04 1.4520e-04 3.4624e-05 1.2596e-04 3.0037e-05 -9.9882e-04 6.7580e-04 3.8681e-03 7.9258e-02 1.0000e+00
7.9914e-02 4.3686e-02 8.0365e-04 5.3094e-03 5.5236e-04 1.2971e-04 3.3669e-05 1.2869e-04 3.3406e-05 -1.9257e-03 6.3754e-04 3.8686e-03 8.0551e-02 1.0000e+00
8.1167e-02 3.7108e-02 7.2060e-04 2.5295e-03 6.0068e-04 1.2196e-04 4.1027e-05 1.0197e-04 3.4303e-05 2.4319e-03 6.7327e-04 3.9355e-03 8.1799e-02 1.0000e+00
8.2419e-02 3.7340e-02 7.1553e-04 4.4022e-03 5.7593e-04 2.4569e-05 1.4281e-05 2.5202e-05 1.4649e-05 1.3176e-03 6.5476e-04 3.9195e-03 8.3035e-02 1.0000e+00
8.3672e-02 2.6448e-02 6.5480e-04 5.1911e-03 5.5396e-04 1.1916e-04 3.6815e-05 1.2573e-04 3.8848e-05 3.3628e-03 6.3438e-04 3.7028e-03 8.4315e-02 1.0000e+00
8.4925e-02 2.6388e-02 6.2234e-04 -5.6843e-04 6.2792e-04 6.3461e-05 2.9783e-05 7.2368e-05 3.3967e-05 -1.4680e-03 6.9934e-04 3.9721e-03 8.5565e-02 1.0000e+00
8.6177e-02 2.1511e-02 6.1169e-04 4.6302e-04 5.5309e-04 2.7102e-05 1.8228e-05 1.9339e-05 1.3007e-05 -5.6695e-04 6.2767e-04 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 2.0457e-02 5.6749e-04 3.5751e-03 5.7480e-04 3.8049e-07 2.1916e-06 4.8308e-07 2.7825e-06 -5.7799e-04 6.4691e-04 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 1.6127e-02 6.0609e-04 6.1269e-03 5.8342e-04 1.2764e-06 4.8475e-06 1.4916e-06 5.6649e-06 3.8963e-03 6.4873e-04 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 1.1832e-02 5.7622e-04 3.5575e-03 5.4564e-04 2.4735e-05 2.1493e-05 2.6631e-05 2.3142e-05 -8.8765e-04 6.1945e-04 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 6.0847e-03 5.9555e-04 5.9154e-03 5.4701e-04 1.8873e-04 8.8679e-05 2.3595e-04 1.1105e-04 1.0246e-03 6.1064e-04 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 8.6360e-03 5.9062e-04 1.5889e-04 5.9757e-04 1.5794e-05 2.2059e-05 2.2991e-05 3.2116e-05 2.1916e-03 6.6815e-04 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 1.0183e-02 5.6644e-04 3.6568e-03 5.3645e-04 2.7371e-05 2.3068e-05 3.7380e-05 3.1510e-05 1.1786e-03 6.0285e-04 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 3.0266e-03 5.7977e-04 2.8551e-03 5.5232e-04 4.1280e-04 1.9481e-04 1.3300e-04 6.2498e-05 9.1516e-04 6.1672e-04 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 8.2690e-03 5.5476e-04 4.8673e-03 5.7981e-04 8.3263e-06 1.4913e-05 7.8362e-06 1.4035e-05 -4.5227e-03 6.5190e-04 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 1.0613e-02 5.5809e-04 -7.6700e-04 5.5155e-04 2.4750e-05 2.1670e-05 3.4956e-05 3.0611e-05 3.5005e-03 6.1224e-04 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 8.9207e-03 5.6041e-04 7.6311e-04 5.7147e-04 1.1221e-05 1.7472e-05 8.3197e-06 1.2954e-05 3.0469e-03 6.3006e-04 3.5747e-03 9.9304e-02 1.0000e+00
9.9957e-02 6.8362e-03 5.4271e-04 3.4077e-03 5.4632e-04 1.7013e-05 2.2674e-05 1.1170e-05 1.4886e-05 3.9931e-03 6.1517e-04 3.4778e-03 1.0063e-01 1.0000e+00
1.0121e-01 5.4334e-03 5.6846e-04 4.0772e-03 5.1767e-04 2.1573e-04 9.3349e-05 8.3601e-05 3.6123e-05 1.3382e-03 5.8515e-04 3.7849e-03 1.0184e-01 1.0000e+00
1.0246e-01 1.0279e-02 5.4278e-04 4.7996e-03 5.5293e-04 1.9144e-06 6.8145e-06 2.9729e-06 1.0583e-05 1.4183e-03 6.1012e-04 3.4213e-03 1.0303e-01 1.0000e+00
1.0372e-01 1.3637e-02 5.4911e-04 3.2391e-03 5.3014e-04 1.2913e-05 1.3170e-05 9.9849e-06 1.0183e-05 -2.8666e-03 6.0505e-04 3.5525e-03 1.0433e-01 1.0000e+00
1.0497e-01 1.1345e-02 5.4881e-04 -1.6939e-03 5.5090e-04 1.6926e-04 5.9082e-05 1.4195e-04 4.9553e-05 6.9158e-04 6.1402e-04 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 1.3642e-02 5.1831e-04 2.8517e-03 5.7012e-04 1.9019e-06 5.9435e-06 2.1709e-06 6.7841e-06 -7.9393e-04 6.2987e-04 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 1.1641e-02 5.5100e-04 9.0237e-04 5.0980e-04 8.1199e-08 1.1979e-06 1.1636e-07 1.7165e-06 5.6852e-04 5.7700e-04 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.4749e-02 5.1569e-04 2.4115e-03 5.3834e-04 1.7771e-06 5.2083e-06 1.5335e-06 4.4944e-06 3.5908e-03 6.0020e-04 3.4246e-03 1.0939e-01 1.0000e+00
1.0998e-01 1.1243e-02 5.4840e-04 4.1187e-03 5.2645e-04 6.3502e-07 3.6076e-06 7.3267e-07 4.1623e-06 4.1947e-03 5.8143e-04 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.3363e-02 5.3269e-04 5.6534e-03 4.9547e-04 7.9677e-05 3.3013e-05 6.0256e-05 2.4964e-05 1.8426e-03 5.5898e-04 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.5600e-02 5.2659e-04 2.0828e-03 5.1299e-04 6.4120e-06 1.0082e-05 7.2320e-06 1.1371e-05 1.1582e-03 5.7152e-04 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.1806e-02 5.3742e-04 -9.4971e-04 5.3650e-04 1.5144e-04 5.1795e-05 1.1231e-04 3.8409e-05 -3.0926e-04 5.9478e-04 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 1.1880e-02 5.0823e-04 -7.2646e-04 5.1179e-04 3.9593e-04 7.7684e-05 4.3532e-04 8.5501e-05 4.0405e-03 5.6797e-04 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.0893e-02 5.3177e-04 4.6151e-04 5.2349e-04 2.4538e-04 7.7499e-05 2.2573e-04 7.1323e-05 4.6142e-03 5.7956e-04 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 1.1119e-02 5.2179e-04 -2.9200e-04 5.5286e-04 1.8554e-05 1.7579e-05 1.3631e-05 1.2915e-05 -2.1568e-03 6.0734e-04 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.2353e-02 4.9987e-04 2.8189e-03 4.9184e-04 9.7649e-05 3.9560e-05 8.4018e-05 3.4040e-05 6.6902e-04 5.4857e-04 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.7237e-02 5.0291e-04 2.5871e-03 5.1014e-04 5.4503e-07 2.8000e-06 1.0713e-06 5.5035e-06 -1.1469e-03 5.7064e-04 3.4881e-03 1.2058e-01 1.0000e+00
