Q 0.06V_300.0K Unc 0.187V_300.0K Unc 7.4V_300.0K Unc CoFe2O4NPs3V_0.071V_300.0K Unc 0.0V_300.0K Unc 
1.0622e-01 2.6922e-02 1.0458e-03 2.7285e-02 1.0366e-03 3.1949e-02 9.8653e-04 3.0753e-02 1.0580e-03 3.1214e-02 1.0111e-03
1.0747e-01 2.3539e-02 1.1157e-03 2.3282e-02 1.1020e-03 2.1718e-02 1.0333e-03 2.4044e-02 1.1018e-03 2.4301e-02 1.0749e-03
1.0873e-01 2.9903e-02 1.0420e-03 2.9497e-02 1.0314e-03 3.2044e-02 9.9048e-04 3.6628e-02 1.0634e-03 2.9614e-02 1.0039e-03
1.0998e-01 2.4613e-02 1.1165e-03 2.2486e-02 1.0968e-03 2.6888e-02 1.0436e-03 2.9239e-02 1.1165e-03 2.5574e-02 1.0706e-03
1.1123e-01 2.8177e-02 1.0800e-03 2.6725e-02 1.0654e-03 2.4953e-02 1.0026e-03 3.0529e-02 1.0903e-03 2.8237e-02 1.0388e-03
1.1248e-01 3.1011e-02 1.0644e-03 3.1201e-02 1.0532e-03 3.5821e-02 1.0049e-03 2.9760e-02 1.0603e-03 3.1475e-02 1.0201e-03
1.1374e-01 2.4208e-02 1.0886e-03 2.3612e-02 1.0748e-03 2.7893e-02 1.0248e-03 2.6969e-02 1.0837e-03 2.2478e-02 1.0379e-03
1.1499e-01 2.7701e-02 1.0356e-03 2.3760e-02 1.0165e-03 3.2858e-02 9.8667e-04 3.1585e-02 1.0485e-03 2.6055e-02 9.9535e-04
1.1624e-01 2.7574e-02 1.0943e-03 2.1786e-02 1.0635e-03 3.3009e-02 1.0282e-03 2.7381e-02 1.0995e-03 2.3414e-02 1.0339e-03
1.1749e-01 2.1883e-02 1.0524e-03 2.2237e-02 1.0436e-03 2.5729e-02 9.9693e-04 2.4289e-02 1.0631e-03 2.5605e-02 1.0237e-03
1.1875e-01 2.5031e-02 1.0105e-03 2.4705e-02 9.9973e-04 2.4523e-02 9.5105e-04 2.7677e-02 1.0176e-03 2.9096e-02 9.8157e-04
1.2000e-01 3.0300e-02 1.0040e-03 3.4473e-02 1.0058e-03 2.8489e-02 9.2526e-04 2.8220e-02 9.8598e-04 4.0463e-02 9.8680e-04
